,date,total,price,condition,movement,case material,band material,model,listingType,start,url
0,2019-04-24,4905.0,4860.0,pre-owned,NULL,NULL,NULL,Rolex Oyster Perpetual,StoreInventory,2019-04-15,http://www.ebay.com/itm/rolex-68243-midsize-18k-gold-ss-oyster-perpetual-datejust-31mm-saphire-crystal-/333158582889
1,2019-04-24,4300.0,4300.0,pre-owned,Mechanical (Hand-winding),White Gold,Alligator,Cellini,FixedPrice,2019-03-17,http://www.ebay.com/itm/rolex-cellini-5330-/254167439822
2,2019-04-24,4789.0,4750.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,2019-04-14,http://www.ebay.com/itm/rolex-26mm-datejust-18k-rose-steel-179163-white-roman-100-genuine-2007-/133022658662
3,2019-04-24,6894.0,6894.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,2018-10-12,http://www.ebay.com/itm/rolex-submariner-4-line-engraved-rehaut-no-date-stainless-black-14060-m-watch-/153216470702
4,2019-04-24,3015.0,3015.0,pre-owned,NULL,Gold,Gold,Rolex Oysterquartz,FixedPrice,2019-04-21,http://www.ebay.com/itm/mint-rolex-oysterquartz-datejust-17013-two-tone-gold-steel-integral-watch-/273816367398
5,2019-04-24,7000.0,7000.0,pre-owned,Mechanical (Automatic),Solid Gold,NULL,Rolex President,StoreInventory,2019-04-24,http://www.ebay.com/itm/rolex-genuine-18k-yellow-gold-president-bracelet-18238-fits-all-36mm-day-date-/372658474982
6,2019-04-24,5900.0,5900.0,pre-owned,Mechanical (Automatic),NULL,"Stainless Steel, 18k Yellow Gold",Yachtmaster,StoreInventory,2019-04-02,http://www.ebay.com/itm/rolex-yachtmaster-midsize-two-tone-watch-168623blso-/173860680112
7,2019-04-24,6278.0,6278.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust II,FixedPrice,2019-04-16,http://www.ebay.com/itm/rolex-datejust-ii-auto-41mm-steel-mens-oyster-bracelet-watch-116300-/283454122753
8,2019-04-24,8050.0,8050.0,pre-owned,Mechanical (Automatic),NULL,"18k Rose Gold & Steel, Stainless Steel",Rolex Datejust,StoreInventory,2019-04-24,http://www.ebay.com/itm/rolex-datejust-116231-stainless-steel-18k-rose-gold-36mm-watch-box-papers-/392283478348
9,2019-04-24,3182.0,3150.0,pre-owned,NULL,Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Datejust,FixedPrice,2019-04-04,http://www.ebay.com/itm/mans-rolex-datejust-16013-stainless-gold-serviced-/254189143041
10,2019-04-24,8050.0,8050.0,pre-owned,Mechanical (Automatic),18K Yellow Gold and Stainless Steel,18K Yellow Gold and Stainless Steel,Rolex Datejust,StoreInventory,2019-04-24,http://www.ebay.com/itm/rolex-datejust-116231-stainless-steel-18k-rose-gold-36mm-watch-box-papers-/401755246820
11,2019-04-24,4750.0,4750.0,pre-owned,Mechanical Movement,Stainless Steel,Two-Tone: Stainless Steel & 10k Yellow Gold,Datejust,StoreInventory,2019-02-07,http://www.ebay.com/itm/rolex-datejust-36mm-steel-jubilee-mens-watch-w-mop-diamond-dial-1-5ct-bezel-/254113323794
12,2019-04-24,3400.0,3400.0,pre-owned,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice,2019-04-24,http://www.ebay.com/itm/rolex-datejust-mens-36mm-watch-two-tone-roman-numeral-black-dial-gold-bezel-/293061980526
13,2019-04-24,2755.0,2755.0,pre-owned,NULL,NULL,NULL,NULL,Auction,2019-04-17,http://www.ebay.com/itm/rolex-datejust-16234-gents-stainless-steel-automatic-watch-10918jh-/323781055794
14,2019-04-24,8050.0,8050.0,pre-owned,Mechanical (Automatic),18K Yellow Gold and Stainless Steel,"18k Rose Gold & Steel, Stainless Steel",DateJust,StoreInventory,2019-04-24,http://www.ebay.com/itm/rolex-datejust-116231-stainless-steel-18k-rose-gold-36mm-watch-box-papers-/392283427379
15,2019-04-24,6995.0,6995.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-04-17,http://www.ebay.com/itm/rolex-submariner-16610-s-perfect-tritium-dial-t-25-warranty-/392278909317
16,2019-04-24,6650.0,6650.0,pre-owned,NULL,NULL,NULL,NULL,FixedPrice,2019-04-23,http://www.ebay.com/itm/rolex-submariner-14060m-mens-watch-stainless-steel-/254209246615
17,2019-04-24,3650.0,3650.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oysterdate,FixedPrice,2019-02-22,http://www.ebay.com/itm/rolex-mens-oyster-perpetual-date-1500-automatic-chronometer-c-1969-swiss-lv767-/254135018522
18,2019-04-24,9000.0,9000.0,pre-owned,Mechanical (Automatic),Stainless Steel,"Stainless Steel,Yellow Gold",GMT Master II,FixedPrice,2019-02-26,http://www.ebay.com/itm/rolex-gmt-master-ii-rootbeer-auto-steel-gold-mens-bracelet-watch-date-16713-/273732518283
19,2019-04-24,11500.0,11500.0,pre-owned,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,FixedPrice,2019-02-25,http://www.ebay.com/itm/rolex-deepsea-sea-dweller-auto-44mm-steel-mens-oyster-bracelet-watch-date-126660-/273730125843
20,2019-04-24,9500.0,9500.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,2019-04-23,http://www.ebay.com/itm/40mm-submariner-rolex-black-dial-bezel-ref-116610ln-/223492101667
21,2019-04-24,4495.0,4495.0,pre-owned,Mechanical (Automatic),Stainless Steel,"Silver, Stainless Steel",NULL,FixedPrice,2019-04-23,http://www.ebay.com/itm/rolex-explorer-stainless-steel-watch-214270-com2160-/223491931502
22,2019-04-24,8000.0,8000.0,pre-owned,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,2019-04-02,http://www.ebay.com/itm/rolex-datejust-116231-stainless-steel-18k-rose-gold-36mm-watch-box-papers-/392270219783
23,2019-04-24,7492.0,7350.0,pre-owned,NULL,Gold,Gold,Rolex Datejust,FixedPrice,2019-04-02,http://www.ebay.com/itm/rolex-date-just-16234-18k-white-gold-36mm-dimond-dial-1-6ct-dimond-bezel-w254-/192878097964
24,2019-04-24,4150.0,4150.0,pre-owned,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,FixedPrice,2019-02-01,http://www.ebay.com/itm/rolex-oyster-perpetual-116000-blue-dial-lnib-dated-dec-2018-w-box-papers-/143113027922
25,2019-04-24,4667.0,4667.0,pre-owned,NULL,Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,Auction,2019-04-17,http://www.ebay.com/itm/rolex-oyster-perpetual-date-115200-34mm-mens-watch-white-dial-/153454813367
