total,price,condition,MPN,movement,case material,band material,model,listingType,url
8544,8544,pre-owned,1803,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex President,FixedPrice,http://www.ebay.com/itm/1966-rolex-day-date-president-wideboy-champagne-dial-36mm-1803-18k-yellow-gold-/273779471105
10994,10994,pre-owned,116710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,FixedPrice,http://www.ebay.com/itm/2016-mint-rolex-gmt-master-ii-stainless-black-40mm-ceramic-116710-ln-date-watch-/264282125629
11520,11500,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-178384-random-datejust-mid-size-diamond-steel-18kt-white-gold-black-dial-/143213837009
9495,9495,pre-owned,16713,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel, Yellow Gold",Rolex GMT-Master II,FixedPrice,http://www.ebay.com/itm/rolex-gmt-master-ii-stainless-steel-18k-yellow-gold-ceramic-bezel-40mm-watc-/233115596975
7500,7500,pre-owned,MTV1717W,Mechanical: Automatic,18kt Solid Gold,18kt Solid Gold,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/ladys-rolex-president-69178-factory-blue-lapis-dial-18kt-yellow-gold-w-boxes-/333086610611
7433,7433,pre-owned,R16700A30B9315,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master,Auction,http://www.ebay.com/itm/rolex-gmt-master-16700-pepsi-oyster-perpetual-date-/303129161365
7835,7795,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/mens-rolex-submariner-date-18k-yellow-gold-steel-watch-blue-dial-bezel-16613-/263780677303
4300,4300,pre-owned,116000,Mechanical (Automatic),Stainless Steel,Stainless Steel,Oyster Perpetual,FixedPrice,http://www.ebay.com/itm/rolex-oyster-perpetual-auto-36mm-steel-mens-oyster-bracelet-watch-116000-/273745947105
4300,4300,pre-owned,5330/9,Mechanical (Hand-winding),White Gold,Alligator,Cellini,FixedPrice,http://www.ebay.com/itm/rolex-cellini-5330-/254167439822
4789,4750,pre-owned,78240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-26mm-datejust-18k-rose-steel-179163-white-roman-100-genuine-2007-/133022658662
7000,7000,pre-owned,18238,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory,http://www.ebay.com/itm/rolex-genuine-18k-yellow-gold-president-bracelet-18238-fits-all-36mm-day-date-/372658474982
6278,6278,pre-owned,116300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust II,FixedPrice,http://www.ebay.com/itm/rolex-datejust-ii-auto-41mm-steel-mens-oyster-bracelet-watch-116300-/283454122753
4750,4750,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-36mm-steel-jubilee-mens-watch-w-mop-diamond-dial-1-5ct-bezel-/254113323794
3400,3400,pre-owned,Rolex Mens Datejust,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-mens-36mm-watch-two-tone-roman-numeral-black-dial-gold-bezel-/293061980526
6995,6995,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-16610-s-perfect-tritium-dial-t-25-warranty-/392278909317
3130,3100,pre-owned,1500,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Date,StoreInventory,http://www.ebay.com/itm/rolex-1995-oyster-perpetual-no-date-34mm-two-tone-mens-watch-14233-w-papers-/293051458585
5675,5600,pre-owned,6305,Mechanical (Automatic),Gold,Leather,Rolex Oyster Perpetual,FixedPrice,http://www.ebay.com/itm/mens-rolex-circa-1978-oyster-perpetual-solid-18k-gold-/323787155003
11500,11500,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,FixedPrice,http://www.ebay.com/itm/rolex-deepsea-sea-dweller-auto-44mm-steel-mens-oyster-bracelet-watch-date-126660-/273730125843
9500,9500,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/40mm-submariner-rolex-black-dial-bezel-ref-116610ln-/223492101667
8000,8000,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-116231-stainless-steel-18k-rose-gold-36mm-watch-box-papers-/392270219783
4576,4500,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Oyster Steel,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/pre-owned-slightly-used-18-men-s-rolex-oyster-perpetual-black-dial-39mm-/143224990607
6500,6500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-mens-steel-submariner-black-dial-bezel-16610-box-books-/183783127547
8855,8800,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/mens-rolex-submariner-116610-ceramic-bezel-insert-stainless-steel-g-serial-/264254639255
10600,10600,pre-owned,16013,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-submariner-stainless-gold-blue-ceramic-dial-40mm-perfect-condition-/323787178289
3400,3400,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-2002-datejust-ladies-18k-gold-stainless-ref-79173-automatic-swiss-watch-/283460371933
5500,5500,pre-owned,68273,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-31mm-s-s-jubilee-womens-watch-mop-diamond-dial-diamond-bezel-/254113323705
6528,6478,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-date-16610-u-series-1997-tight-band-very-nice-sub-/163659692636
8900,8900,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-116610-stainless-steel-black-/143094038100
6250,6250,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/1991-40mm-rolex-submariner-16610-stainless-steel-automatic-mens-watch-/163654239036
11057,11057,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,Auction,http://www.ebay.com/itm/vintage-1985-rolex-gmt-master-16750-pepsi-patina-gloss-dial-serviced-/264286072011
9000,8950,new without tags,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-116610ln-2015-/113717251582
7395,7395,new with tags,"$7,350 ",Automatic,Stainless Steel,Stainless Steel,Rolex Datejust II,StoreInventory,http://www.ebay.com/itm/brand-new-rolex-126300-datejust-41mm-white-dial-jubilee-band-box-papers-/283448614255
3200,3200,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-stainless-steel-men-watch-w-silver-dial-/323786124144
8797,8797,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/2018-rolex-submariner-date-116610-ln-stainless-black-dive-ceramic-40mm-watch-box-/303131827426
5800,5800,pre-owned,69178,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-69178-ladies-18k-yellow-gold-datejust-president-1-20-carat-diamond-bezel-/273808401965
3245,3200,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,http://www.ebay.com/itm/1970-rolex-1603-datejust-stainless-steel-black-dial-engine-turned-bezel-no-res-/293046530511
3350,3350,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Datejust,Auction,http://www.ebay.com/itm/rolex-datejust-16200-silver-dial-2003-excellent-36mm-free-shipping-/333158899159
8400,8400,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,StoreInventory,http://www.ebay.com/itm/rolex-sea-dweller-deepsea-116660-stainless-steel-black-ceramic-watch-44mm-/392280728668
5800,5800,pre-owned,1500,Automatic Self Wind,Yellow Gold,Yellow Gold,Date,StoreInventory,http://www.ebay.com/itm/rolex-date-vintage-14k-solid-gold-ref-1500-mens-34mm-watch-box-papers-/293019176327
5500,5500,pre-owned,216570,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer II,FixedPrice,http://www.ebay.com/itm/rolex-216570-explorer-ii-stainless-steel-black-dial-series-max078865-/382745380841
5500,5500,new with tags,116300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust II,StoreInventory,http://www.ebay.com/itm/mens-rolex-datejust-ii-stainless-steel-w-white-dial-116300-/273817579015
7000,7000,pre-owned,16710/2180,Mechanical (Automatic),Stainless Steel,Gold,GMT Mast II,Auction,http://www.ebay.com/itm/mens-preowned-rolex-explorer-ii-42mm-watch-mint-condition-/362622372154
5500,5500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/rolex-submariner-16610-oyster-perpetual-date-w-box-papers-1998-/323786008315
3888,3888,pre-owned,114200,Mechanical (Automatic),Stainless Steel,Stainless Steel,Air-King,FixedPrice,http://www.ebay.com/itm/rolex-oyster-perpetual-auto-34mm-steel-mens-bracelet-watch-114200-/293030927945
6900,6900,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-date-stainless-steel-black-dial-16610t-/264227493885
11050,11000,pre-owned,1675,Mechanical (Automatic),Stainless Steel,Steel,GMT Master,StoreInventory,http://www.ebay.com/itm/rolex-gmt-master-pepsi-vintage-auto-steel-mens-riveted-bracelet-watch-date-1675-/163655324317
9600,9600,pre-owned,5100,Quartz (Battery),Gold,Gold,Quartz,StoreInventory,http://www.ebay.com/itm/7016-0-tudor-rolex-submariner-prince-1968-restore-runs-strong-cool-orig-dial-/333167139670
7500,7500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-2006-submariner-box-papers-black-no-holes-oyster-16610-40mm-steel-/192881200489
8544,8544,pre-owned,16018/16000,Mechanical (Automatic),Gold,Leather,Datejust,Auction,http://www.ebay.com/itm/rolex-126303-datejust-41-ss-18k-gold-champagne-dial-oyster-bracelet-box-cert-/143212676717
9900,9800,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/2019-rolex-submariner-date-ceramic-stainless-steel-automatic-watch-116610ln-/273816160058
5405,5375,new with tags,114300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oyster Perpetual,StoreInventory,http://www.ebay.com/itm/new-rolex-oyster-perpetual-39-mm-dark-rhodium-steel-mens-watch-ref-114300-2018-/163642126006
7869,7835,pre-owned,15037,Mechanical (Automatic),14K Gold,14k Yellow Gold,Rolex Date,StoreInventory,http://www.ebay.com/itm/rolex-15037-14k-gold-date-1987-near-mint-condition-/123738672986
6975,6975,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,FixedPrice,http://www.ebay.com/itm/gentlemens-two-tone-blue-rolex-submariner-16613-wristwatch-/123734456100
7500,7500,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-watch-datejust-/273816745066
7250,7250,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-sea-dweller-16660-triple-6-vintage-1984-steel-pre-owned-near-mint-8-3-mill-/132954288843
3725,3700,pre-owned,6694,Mechanical (Hand-winding),Stainless Steel,Leather,Oysterdate Precision,Auction,http://www.ebay.com/itm/rolex-6694-oman-model-vintage-hand-winding-watch-1966-running-good-cal-1225-/113715989520
6410,6310,pre-owned,179138,Mechanical (Automatic),Gold,Gold,Rolex President,Auction,http://www.ebay.com/itm/rolex-ladies-president-18k-datejust-rolex-diamond-bezel-dial-1999-mfg-/183774987428
10700,10700,pre-owned,116613,Mechanical (Automatic),Yellow Gold / Steel,Yellow Gold / Steel,Rolex Submariner,Auction,http://www.ebay.com/itm/rolex-submariner-116613-40mm-stainless-steel-yellow-gold-ceramic-watch-/273803199774
6500,6500,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,FixedPrice,http://www.ebay.com/itm/rolex-datejust-18k-gold-stainless-steel-jubilee-bracelet-watch-/223489063239
8514,8500,pre-owned,16710/2180,Mechanical (Automatic),Stainless Steel,Gold,GMT Mast II,FixedPrice,http://www.ebay.com/itm/rolex-16753-gmt-master-18k-gold-steel-root-beer-/254195013700
5523,5500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-mens-14060-stainless-steel-black-dial-automatic-watch-/312504830474
7325,7250,new with tags,"$7,850 ",Automatic,Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-datejust-116234g-wrist-watch-2019-/123613167310
3595,3595,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,http://www.ebay.com/itm/rolex-mens-18k-gold-ss-datejust-1625-turn-o-graph-automatic-c-1968-lv369-/264206466324
3800,3800,new with tags,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,http://www.ebay.com/itm/mens-new-dominos-2018-rolex-md-116000-stainless-box-w-tags-collectable-item-/143215256240
6528,6478,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory,http://www.ebay.com/itm/rolex-submariner-date-16610-u-series-1997-tight-band-very-nice-sub-/163646696829
10570,10500,pre-owned,116710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,StoreInventory,http://www.ebay.com/itm/unpolished-2016-rolex-116710ln-gmt-master-ii-ceramic-bezel-watch-full-set-/183782926220
