,date,total,price,condition,MPN,movement,case material,band material,model,listingType,start,url
3,4/25/2019,8544,8544,pre-owned,1803,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex President,FixedPrice,3/26/2019,http://www.ebay.com/itm/1966-rolex-day-date-president-wideboy-champagne-dial-36mm-1803-18k-yellow-gold-/273779471105
4,4/25/2019,10994,10994,pre-owned,116710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,FixedPrice,4/13/2019,http://www.ebay.com/itm/2016-mint-rolex-gmt-master-ii-stainless-black-40mm-ceramic-116710-ln-date-watch-/264282125629
6,4/25/2019,4351,4351,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,"Solid Gold, Stainless Steel",Rolex Lady-Datejust,Auction,4/18/2019,http://www.ebay.com/itm/rolex-datejust-69178-ladies-presidential-diamond-green-dial-18k-gold-watch-6-1-2-/233201220940
7,4/25/2019,11520,11500,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,4/13/2019,http://www.ebay.com/itm/rolex-178384-random-datejust-mid-size-diamond-steel-18kt-white-gold-black-dial-/143213837009
9,4/24/2019,9495,9495,pre-owned,16713,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel, Yellow Gold",Rolex GMT-Master II,FixedPrice,1/30/2019,http://www.ebay.com/itm/rolex-gmt-master-ii-stainless-steel-18k-yellow-gold-ceramic-bezel-40mm-watc-/233115596975
11,4/24/2019,7500,7500,pre-owned,MTV1717W,Mechanical: Automatic,18kt Solid Gold,18kt Solid Gold,Rolex Datejust,FixedPrice,2/22/2019,http://www.ebay.com/itm/ladys-rolex-president-69178-factory-blue-lapis-dial-18kt-yellow-gold-w-boxes-/333086610611
16,4/24/2019,7433,7433,pre-owned,R16700A30B9315,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master,Auction,4/17/2019,http://www.ebay.com/itm/rolex-gmt-master-16700-pepsi-oyster-perpetual-date-/303129161365
19,4/24/2019,7050,7050,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner 116610LN,FixedPrice,4/24/2019,http://www.ebay.com/itm/rolex-submariner-116610ln-/323788069936
22,4/24/2019,5545,5495,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice,4/24/2019,http://www.ebay.com/itm/rolex-explorer-39mm-ref-214270-mk2-mens-black-dial-oyster-bracelet-watch-/233207933224
23,4/24/2019,7835,7795,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,StoreInventory,6/26/2018,http://www.ebay.com/itm/mens-rolex-submariner-date-18k-yellow-gold-steel-watch-blue-dial-bezel-16613-/263780677303
24,4/24/2019,4300,4300,pre-owned,116000,Mechanical (Automatic),Stainless Steel,Stainless Steel,Oyster Perpetual,FixedPrice,3/5/2019,http://www.ebay.com/itm/rolex-oyster-perpetual-auto-36mm-steel-mens-oyster-bracelet-watch-116000-/273745947105
26,4/24/2019,4300,4300,pre-owned,5330/9,Mechanical (Hand-winding),White Gold,Alligator,Cellini,FixedPrice,3/17/2019,http://www.ebay.com/itm/rolex-cellini-5330-/254167439822
27,4/24/2019,4789,4750,pre-owned,78240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction,4/14/2019,http://www.ebay.com/itm/rolex-26mm-datejust-18k-rose-steel-179163-white-roman-100-genuine-2007-/133022658662
30,4/24/2019,7000,7000,pre-owned,18238,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory,4/24/2019,http://www.ebay.com/itm/rolex-genuine-18k-yellow-gold-president-bracelet-18238-fits-all-36mm-day-date-/372658474982
32,4/24/2019,6278,6278,pre-owned,116300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust II,FixedPrice,4/16/2019,http://www.ebay.com/itm/rolex-datejust-ii-auto-41mm-steel-mens-oyster-bracelet-watch-116300-/283454122753
36,4/24/2019,4750,4750,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory,2/7/2019,http://www.ebay.com/itm/rolex-datejust-36mm-steel-jubilee-mens-watch-w-mop-diamond-dial-1-5ct-bezel-/254113323794
