total,price,condition,MPN,movement,case material,band material,model,listingType
8544,8544,pre-owned,1803,Mechanical (Automatic),Solid Gold,Genuine Leather,Rolex President,FixedPrice
10994,10994,pre-owned,116710,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master II,FixedPrice
4351,4351,pre-owned,Does not apply,Mechanical (Automatic),Stainless Steel,"Solid Gold, Stainless Steel",Rolex Lady-Datejust,Auction
11520,11500,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
9495,9495,pre-owned,16713,Mechanical (Automatic),Stainless Steel,"18K Yellow Gold, Stainless Steel, Yellow Gold",Rolex GMT-Master II,FixedPrice
7500,7500,pre-owned,MTV1717W,Mechanical: Automatic,18kt Solid Gold,18kt Solid Gold,Rolex Datejust,FixedPrice
7433,7433,pre-owned,R16700A30B9315,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex GMT-Master,Auction
7050,7050,pre-owned,Does not apply,Mechanical: Automatic,Stainless Steel,Stainless Steel,Submariner 116610LN,FixedPrice
5545,5495,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Explorer,FixedPrice
7835,7795,pre-owned,16613,Mechanical (Automatic),Stainless Steel,Two-Tone: Stainless Steel & 18k Yellow Gold,Rolex Submariner,StoreInventory
4300,4300,pre-owned,116000,Mechanical (Automatic),Stainless Steel,Stainless Steel,Oyster Perpetual,FixedPrice
4300,4300,pre-owned,5330/9,Mechanical (Hand-winding),White Gold,Alligator,Cellini,FixedPrice
4789,4750,pre-owned,78240,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,Auction
7000,7000,pre-owned,18238,Mechanical (Automatic),Solid Gold,Solid Gold,Rolex President,StoreInventory
6278,6278,pre-owned,116300,Mechanical (Automatic),Stainless Steel,Stainless Steel,Datejust II,FixedPrice
4750,4750,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
3400,3400,pre-owned,Rolex Mens Datejust,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice
6995,6995,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
3130,3100,pre-owned,1500,Mechanical (Automatic),Stainless Steel,Genuine Leather,Rolex Date,StoreInventory
5675,5600,pre-owned,6305,Mechanical (Automatic),Gold,Leather,Rolex Oyster Perpetual,FixedPrice
3650,3650,pre-owned,Does Not Apply,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Oysterdate,FixedPrice
11500,11500,pre-owned,116660,Mechanical: Automatic,Stainless Steel,Stainless Steel,Rolex Sea-Dweller Deepsea,FixedPrice
9500,9500,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
8000,8000,pre-owned,1603,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
4576,4500,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Oyster Steel,Rolex Datejust,FixedPrice
6500,6500,pre-owned,16610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
7600,7600,pre-owned,Does not apply,Mechanical (Automatic),"Gold, 18k yellow gold",Leather,Rolex President,Auction
8855,8800,pre-owned,116610,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Submariner,StoreInventory
10600,10600,pre-owned,16013,Mechanical (Automatic),"Solid Gold, Stainless Steel","Solid Gold, Stainless Steel",Rolex Datejust,FixedPrice
3400,3400,pre-owned,1601,Mechanical (Automatic),Stainless Steel,Stainless Steel,Rolex Datejust,StoreInventory
