total,price,condition,MPN,movement,case_material,band_material,model,listing_type,deal_type
8544,8544,pre-owned,1803,Automatic,18k Gold,Leather,President,FixedPrice,Good deal
10994,10994,pre-owned,116710,Automatic,Stainless Steel,Stainless Steel,GMT-Master,FixedPrice,Bad deal
11520,11500,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
9495,9495,pre-owned,16713,Automatic,Stainless Steel,18k Gold,GMT-Master,FixedPrice,Bad deal
7835,7795,pre-owned,16613,Automatic,Stainless Steel,Two Tone 18k Gold,Submariner,StoreInventory,Bad deal
4300,4300,pre-owned,116000,Automatic,Stainless Steel,Stainless Steel,Oysterdate,FixedPrice,Good deal
4789,4750,pre-owned,78240,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
7000,7000,pre-owned,18238,Automatic,18k Gold,18k Gold,President,StoreInventory,Good deal
6278,6278,pre-owned,116300,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
4750,4750,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
6995,6995,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
3130,3100,pre-owned,1500,Automatic,Stainless Steel,Leather,Datejust,StoreInventory,Bad deal
5675,5600,pre-owned,6305,Automatic,18k Gold,Leather,Oysterdate,FixedPrice,Bad deal
11500,11500,pre-owned,116660,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,FixedPrice,Bad deal
9500,9500,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
8000,8000,pre-owned,1603,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
4576,4500,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,FixedPrice,Bad deal
6500,6500,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Good deal
8855,8800,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
10600,10600,pre-owned,16013,Automatic,18k Gold,18k Gold,Datejust,FixedPrice,Bad deal
3400,3400,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
5500,5500,pre-owned,68273,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
6528,6478,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Good deal
8900,8900,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
6250,6250,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Good deal
11057,11057,pre-owned,1675,Automatic,Stainless Steel,Stainless Steel,GMT-Master,Auction,Bad deal
9000,8950,new without tags,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
3200,3200,pre-owned,1601,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Bad deal
8797,8797,pre-owned,116610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Bad deal
5800,5800,pre-owned,69178,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
3245,3200,pre-owned,1603,Automatic,Stainless Steel,Stainless Steel,Datejust,Auction,Bad deal
3350,3350,pre-owned,1601,Automatic,Stainless Steel,Leather,Datejust,Auction,Bad deal
8400,8400,pre-owned,116660,Automatic,Stainless Steel,Stainless Steel,Sea-Dweller,StoreInventory,Good deal
5800,5800,pre-owned,1500,Automatic,18k Gold,18k Gold,Datejust,StoreInventory,Bad deal
5500,5500,pre-owned,216570,Automatic,Stainless Steel,Stainless Steel,Explorer 2,FixedPrice,Good deal
5500,5500,new with tags,116300,Automatic,Stainless Steel,Stainless Steel,Datejust,StoreInventory,Good deal
5500,5500,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,FixedPrice,Good deal
3888,3888,pre-owned,114200,Automatic,Stainless Steel,Stainless Steel,Air-King,FixedPrice,Good deal
6900,6900,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
11050,11000,pre-owned,1675,Automatic,Stainless Steel,Stainless Steel,GMT-Master,StoreInventory,Bad deal
7500,7500,pre-owned,16610,Automatic,Stainless Steel,Stainless Steel,Submariner,StoreInventory,Bad deal
